test_id,test_name,timestamp,iteration,prompt_length,prompt_tokens,prompt_complexity,max_tokens,actual_tokens,response_length,finish_reason,total_time_ms,network_time_ms,inference_time_ms,tokens_per_second,chars_per_second,ms_per_token,success,time_to_first_token_ms,prefill_time_ms,generation_time_per_token_ms,error,cold_start,batch_size
test_0001_1756415174,simple_1c_20t,2025-08-28T17:06:15.150621,1,1,1,simple,20,20,98,stop,1008.3680152893066,192.23284721374512,816.1351680755615,24.50574461477968,120.07814861242042,40.806758403778076,True,25.232315063476562,25.232315063476562,41.62646594800447,,False,1
test_0002_1756415177,simple_1c_50t,2025-08-28T17:06:19.463006,1,1,1,simple,50,50,131,stop,2308.5670471191406,174.75175857543945,2133.815288543701,23.43220627785655,61.39238044798416,42.67630577087402,True,23.351669311523438,23.351669311523438,43.070686106779135,,False,1
test_0003_1756415181,simple_1c_100t,2025-08-28T17:06:25.750011,1,1,1,simple,100,100,131,stop,4281.728029251099,69.38838958740234,4212.339639663696,23.739776123081988,31.099106721237405,42.12339639663696,True,23.84781837463379,23.84781837463379,42.307998194839016,,False,1
test_0004_1756415187,simple_8c_20t,2025-08-28T17:06:28.671599,1,8,2,simple,20,20,32,stop,916.3467884063721,99.94363784790039,816.4031505584717,24.49770065967865,39.19632105548584,40.820157527923584,True,16.714096069335938,16.714096069335938,42.088897604691354,,False,1
test_0005_1756415190,simple_8c_50t,2025-08-28T17:06:32.851074,1,8,2,simple,50,50,32,stop,2178.8971424102783,59.57913398742676,2119.3180084228516,23.59249522784401,15.099196945820168,42.38636016845703,True,16.724586486816406,16.724586486816406,42.91006983542929,,False,1
test_0006_1756415194,simple_8c_100t,2025-08-28T17:06:39.213217,1,8,2,simple,100,100,32,stop,4357.120037078857,92.86808967590332,4264.251947402954,23.45077196034412,7.504247027310118,42.64251947402954,True,16.999483108520508,16.999483108520508,42.90154004337812,,False,1
test_0007_1756415201,simple_25c_20t,2025-08-28T17:06:42.059968,1,25,5,simple,20,20,0,stop,842.9079055786133,64.48793411254883,778.4199714660645,25.693071520675787,0.0,38.92099857330322,True,21.73018455505371,21.73018455505371,39.82577825847425,,False,1
test_0008_1756415204,simple_25c_50t,2025-08-28T17:06:46.280731,1,25,5,simple,50,50,0,stop,2218.913793563843,110.59141159057617,2108.3223819732666,23.715538205880506,0.0,42.16644763946533,True,22.623062133789062,22.623062133789062,42.56529224162199,,False,1
test_0009_1756415208,simple_25c_100t,2025-08-28T17:06:52.734229,1,25,5,simple,100,100,0,stop,4452.298879623413,138.48257064819336,4313.81630897522,23.181330134976417,0.0,43.1381630897522,True,23.453950881958008,23.453950881958008,43.33699351609355,,False,1
test_0010_1756415214,medium_116c_20t,2025-08-28T17:06:55.702572,1,116,21,medium,20,20,0,stop,963.0389213562012,110.75782775878906,852.2810935974121,23.466436308684916,0.0,42.614054679870605,True,31.968355178833008,31.968355178833008,43.17435465360943,,False,1
test_0011_1756415217,medium_116c_50t,2025-08-28T17:07:00.001894,1,116,21,medium,50,50,0,stop,2294.039011001587,119.01617050170898,2175.022840499878,22.98826433864422,0.0,43.50045680999756,True,32.76777267456055,32.76777267456055,43.71949118010852,,False,1
